date,gdp,uemployment_rate,inflation_rate,cpi,tradeBalance_goods,tradeBalance_services,tradeBalance_overall,retail_sales,housingStarts_started,housingStarts_completed
01/01/1955,129428,,,,,,,,,
01/04/1955,129519,,,,,,,,,
01/07/1955,132043,,,,,,,,,
01/10/1955,131396,,,,,,,,,
01/01/1956,132998,,,,,,,,,
01/04/1956,132679,,,,,,,,,
01/07/1956,132495,,,,,,,,,
01/10/1956,132945,,,,,,,,,
01/01/1957,135711,,,,,,,,,
01/04/1957,135750,,,,,,,,,
01/07/1957,134944,,,,,,,,,
01/10/1957,135028,,,,,,,,,
01/01/1958,138005,,,,,,,,,
01/04/1958,134822,,,,,,,,,
01/07/1958,137771,,,,,,,,,
01/10/1958,137880,,,,,,,,,
01/01/1959,138749,,,,,,,,,
01/04/1959,141054,,,,,,,,,
01/07/1959,144101,,,,,,,,,
01/10/1959,147731,,,,,,,,,
01/01/1960,151420,,,,,,,,,
01/04/1960,150230,,,,,,,,,
01/07/1960,152485,,,,,,,,,
01/10/1960,153552,,,,,,,,,
01/01/1961,155990,,,,,,,,,
01/04/1961,156572,,,,,,,,,
01/07/1961,155818,,,,,,,,,
01/10/1961,155436,,,,,,,,,
01/01/1962,156202,,,,,,,,,
01/04/1962,157678,,,,,,,,,
01/07/1962,158572,,,,,,,,,
01/10/1962,157894,,,,,,,,,
01/01/1963,158616,,,,,,,,,
01/04/1963,165619,,,,,,,,,
01/07/1963,166407,,,,,,,,,
01/10/1963,170054,,,,,,,,,
01/01/1964,171209,,,,,,,,,
01/04/1964,174393,,,,,,,,,
01/07/1964,175037,,,,,,,,,
01/10/1964,177683,,,,,,,,,
01/01/1965,177153,,,,,,,,,
01/04/1965,177267,,,,,,,,,
01/07/1965,178719,,,,,,,,,
01/10/1965,179904,,,,,,,,,
01/01/1966,180172,,,,,,,,,
01/04/1966,181154,,,,,,,,,
01/07/1966,181778,,,,,,,,,
01/10/1966,180944,,,,,,,,,
01/01/1967,183328,,,,,,,,,
01/04/1967,185968,,,,,,,,,
01/07/1967,186841,,,,,,,,,
01/10/1967,187834,,,,,,,,,
01/01/1968,194591,,,,,,,,,
01/04/1968,193804,,,,,,,,,
01/07/1968,197603,,,,,,,,,
01/10/1968,198437,,,,,,,,,
01/01/1969,197901,,,,,,,,,
01/04/1969,199471,,,,,,,,,
01/07/1969,200592,,,,,,,,,
01/10/1969,201431,,,,,,,,,
01/01/1970,200089,,,,,,,,,
01/04/1970,205001,,,,,,,,,
01/07/1970,206988,,,,,,,,,
01/10/1970,208869,,,,,,,,,
01/01/1971,207680,,,,,,,,,
01/03/1971,,3.8,,,,,,,,
01/04/1971,211465,3.9,,,,,,,,
01/05/1971,,4,,,,,,,,
01/06/1971,,4.1,,,,,,,,
01/07/1971,215240,4.1,,,,,,,,
01/08/1971,,4.2,,,,,,,,
01/09/1971,,4.2,,,,,,,,
01/10/1971,216006,4.3,,,,,,,,
01/11/1971,,4.4,,,,,,,,
01/12/1971,,4.4,,,,,,,,
01/01/1972,216317,4.5,,,,,,,,
01/02/1972,,4.5,,,,,,,,
01/03/1972,,4.5,,,,,,,,
01/04/1972,222086,4.5,,,,,,,,
01/05/1972,,4.5,,,,,,,,
01/06/1972,,4.4,,,,,,,,
01/07/1972,222694,4.4,,,,,,,,
