date,interest_rate,col2,col3
02-Feb-23,4,1,1
15-Dec-22,3.5,2,2
03-Nov-22,3,3,3
22-Sep-22,2.25,4,4
04-Aug-22,1.75,5,5
16-Jun-22,1.25,6,6
05-May-22,1,7,7
17-Mar-22,0.75,8,8
03-Feb-22,0.5,9,9
16-Dec-21,0.25,10,10
19-Mar-20,0.1,1,1
11-Mar-20,0.25,2,2
02-Aug-18,0.75,3,3
02-Nov-17,0.5,4,4
04-Aug-16,0.25,5,5
05-Mar-09,0.5,6,6
05-Feb-09,1,7,7
08-Jan-09,1.5,8,8
04-Dec-08,2,9,9
06-Nov-08,3,10,10
08-Oct-08,4.5,8.105263158,8.105263158
10-Apr-08,5,8.353383459,8.353383459
07-Feb-08,5.25,8.601503759,8.601503759
06-Dec-07,5.5,8.84962406,8.84962406
05-Jul-07,5.75,9.097744361,9.097744361
10-May-07,5.5,9.345864662,9.345864662
11-Jan-07,5.25,9.593984962,9.593984962
09-Nov-06,5,9.842105263,9.842105263
03-Aug-06,4.75,10.09022556,10.09022556
04-Aug-05,4.5,10.33834586,10.33834586
05-Aug-04,4.75,10.58646617,10.58646617
10-Jun-04,4.5,10.83458647,10.83458647
06-May-04,4.25,11.08270677,11.08270677
05-Feb-04,4,11.33082707,11.33082707
06-Nov-03,3.75,11.57894737,11.57894737
10-Jul-03,3.5,11.82706767,11.82706767
06-Feb-03,3.75,12.07518797,12.07518797
08-Nov-01,4,12.32330827,12.32330827
04-Oct-01,4.5,12.57142857,12.57142857
18-Sep-01,4.75,12.81954887,12.81954887
02-Aug-01,5,13.06766917,13.06766917
10-May-01,5.25,13.31578947,13.31578947
05-Apr-01,5.5,13.56390977,13.56390977
08-Feb-01,5.75,13.81203008,13.81203008
10-Feb-00,6,14.06015038,14.06015038
13-Jan-00,5.75,14.30827068,14.30827068
04-Nov-99,5.5,14.55639098,14.55639098
08-Sep-99,5.25,14.80451128,14.80451128
10-Jun-99,5,15.05263158,15.05263158
08-Apr-99,5.25,15.30075188,15.30075188
04-Feb-99,5.5,15.54887218,15.54887218
07-Jan-99,6,15.79699248,15.79699248
10-Dec-98,6.25,16.04511278,16.04511278
05-Nov-98,6.75,16.29323308,16.29323308
08-Oct-98,7.25,16.54135338,16.54135338
04-Jun-98,7.5,16.78947368,16.78947368
06-Nov-97,7.25,17.03759398,17.03759398
07-Aug-97,7,17.28571429,17.28571429
10-Jul-97,6.75,17.53383459,17.53383459
06-Jun-97,6.5,17.78195489,17.78195489
06-May-97,6.25,1,1
30-Oct-96,5.94,2,2
06-Jun-96,5.69,3,3
08-Mar-96,5.94,4,4
18-Jan-96,6.13,5,5
13-Dec-95,6.38,6,6
02-Feb-95,6.63,7,7
07-Dec-94,6.13,8,8
12-Sep-94,5.63,9,9
08-Feb-94,5.13,10,10
23-Nov-93,5.38,1,1
26-Jan-93,5.88,2,2
13-Nov-92,6.88,3,3
16-Oct-92,7.88,4,4
22-Sep-92,8.88,5,5
05-May-92,9.88,6,6
04-Sep-91,10.38,7,7
12-Jul-91,10.88,8,8
24-May-91,11.38,9,9
12-Apr-91,11.88,10,10
22-Mar-91,12.38,8.105263158,8.105263158
27-Feb-91,12.88,8.353383459,8.353383459
13-Feb-91,13.38,8.601503759,8.601503759
08-Oct-90,13.88,8.84962406,8.84962406
06-Oct-89,14.88,9.097744361,9.097744361
08-Sep-89,13.75,9.345864662,9.345864662
04-Sep-89,13.88,9.593984962,9.593984962
31-Aug-89,13.84,9.842105263,9.842105263
25-May-89,13.75,10.09022556,10.09022556
25-Nov-88,12.88,10.33834586,10.33834586
25-Aug-88,11.88,10.58646617,10.58646617
08-Aug-88,10.88,10.83458647,10.83458647
21-Jul-88,10.38,11.08270677,11.08270677
07-Jul-88,9.88,11.33082707,11.33082707
24-Jun-88,8.88,11.57894737,11.57894737
10-Jun-88,8.38,11.82706767,11.82706767
03-Jun-88,7.88,12.07518797,12.07518797
17-May-88,7.38,12.32330827,12.32330827
08-Apr-88,7.88,12.57142857,12.57142857
17-Mar-88,8.38,12.81954887,12.81954887
01-Feb-88,8.88,13.06766917,13.06766917
03-Dec-87,8.38,13.31578947,13.31578947
04-Nov-87,8.88,13.56390977,13.56390977
23-Oct-87,9.38,13.81203008,13.81203008
06-Aug-87,9.88,14.06015038,14.06015038
08-May-87,8.88,14.30827068,14.30827068
28-Apr-87,9.38,14.55639098,14.55639098
18-Mar-87,9.88,14.80451128,14.80451128
09-Mar-87,10.38,15.05263158,15.05263158
15-Oct-86,10.88,15.30075188,15.30075188
23-May-86,9.88,15.54887218,15.54887218
18-Apr-86,10.38,15.79699248,15.79699248
11-Apr-86,10.88,16.04511278,16.04511278
19-Mar-86,11.38,16.29323308,16.29323308
15-Jan-86,12.38,16.54135338,16.54135338
26-Jul-85,11.38,16.78947368,16.78947368
11-Jul-85,11.88,17.03759398,17.03759398
19-Apr-85,12.38,17.28571429,17.28571429
28-Mar-85,12.88,17.53383459,17.53383459
20-Mar-85,13.38,17.78195489,17.78195489
28-Jan-85,13.88,1,1
14-Jan-85,11.88,2,2
23-Nov-84,9.5,3,3
19-Nov-84,9.75,4,4
05-Nov-84,10,5,5
17-Aug-84,10.5,6,6
16-Aug-84,10.75,7,7
09-Aug-84,11,8,8
08-Aug-84,11.5,9,9
11-Jul-84,12,10,10
06-Jul-84,10,1,1
29-Jun-84,8.88,2,2
10-May-84,9.06,3,3
14-Mar-84,8.56,4,4
07-Mar-84,8.81,5,5
03-Oct-83,9.06,6,6
10-Aug-83,9.56,7,7
09-Aug-83,9.44,8,8
14-Jun-83,9.56,9,9
13-Jun-83,9.81,10,10
14-Apr-83,10.06,8.105263158,8.105263158
13-Apr-83,10.31,8.353383459,8.353383459
15-Mar-83,10.56,8.601503759,8.601503759
12-Jan-83,11,8.84962406,8.84962406
26-Nov-82,10,9.097744361,9.097744361
02-Nov-82,9.13,9.345864662,9.345864662
01-Nov-82,9.38,9.593984962,9.593984962
12-Oct-82,9.63,9.842105263,9.842105263
30-Sep-82,10.13,10.09022556,10.09022556
29-Sep-82,10.25,10.33834586,10.33834586
28-Sep-82,10.38,10.58646617,10.58646617
27-Sep-82,10.5,10.83458647,10.83458647
27-Aug-82,10.63,11.08270677,11.08270677
26-Aug-82,10.88,11.33082707,11.33082707
25-Aug-82,11,11.57894737,11.57894737
24-Aug-82,11.13,11.82706767,11.82706767
17-Aug-82,11.25,12.07518797,12.07518797
16-Aug-82,11.38,12.32330827,12.32330827
04-Aug-82,11.5,12.57142857,12.57142857
02-Aug-82,11.56,12.81954887,12.81954887
30-Jul-82,11.63,13.06766917,13.06766917
29-Jul-82,11.75,13.31578947,13.31578947
28-Jul-82,11.81,13.56390977,13.56390977
26-Jul-82,11.94,13.81203008,13.81203008
21-Jul-82,12.06,14.06015038,14.06015038
13-Jul-82,12.13,14.30827068,14.30827068
12-Jul-82,12.25,14.55639098,14.55639098
09-Jul-82,12.5,14.80451128,14.80451128
08-Jun-82,12.63,15.05263158,15.05263158
20-Apr-82,13.13,15.30075188,15.30075188
19-Apr-82,13,15.54887218,15.54887218
16-Apr-82,13.13,15.79699248,15.79699248
10-Mar-82,13.25,16.04511278,16.04511278
25-Feb-82,13.63,16.29323308,16.29323308
22-Feb-82,13.81,16.54135338,16.54135338
22-Jan-82,13.88,16.78947368,16.78947368
21-Jan-82,14,17.03759398,17.03759398
20-Jan-82,14.13,17.28571429,17.28571429
19-Jan-82,14.25,17.53383459,17.53383459
18-Jan-82,14.31,17.78195489,17.78195489
04-Dec-81,14.38,1,1
25-Nov-81,14.56,2,2
09-Nov-81,14.63,3,3
06-Nov-81,15.06,4,4
28-Oct-81,15.13,5,5
12-Oct-81,15,6,6
15-Sep-81,14,7,7
25-Aug-81,12.69,8,8
11-Mar-81,12,9,9
25-Nov-80,14,10,10
03-Jul-80,16,1,1
15-Nov-79,17,2,2
13-Jun-79,14,3,3
05-Apr-79,12,4,4
01-Mar-79,13,5,5
08-Feb-79,14,6,6
09-Nov-78,12.5,7,7
08-Jun-78,10,8,8
15-May-78,9,9,9
08-May-78,8.75,10,10
12-Apr-78,7.5,8.105263158,8.105263158
09-Jan-78,6.5,8.353383459,8.353383459
28-Nov-77,7,8.601503759,8.601503759
17-Oct-77,5,8.84962406,8.84962406
10-Oct-77,5.5,9.097744361,9.097744361
19-Sep-77,6,9.345864662,9.345864662
12-Sep-77,6.5,9.593984962,9.593984962
15-Aug-77,7,9.842105263,9.842105263
08-Aug-77,7.5,10.09022556,10.09022556
16-May-77,8,10.33834586,10.33834586
02-May-77,8.25,10.58646617,10.58646617
25-Apr-77,8.75,10.83458647,10.83458647
18-Apr-77,9,11.08270677,11.08270677
12-Apr-77,9.25,11.33082707,11.33082707
31-Mar-77,9.5,11.57894737,11.57894737
21-Mar-77,10.5,11.82706767,11.82706767
10-Mar-77,11,12.07518797,12.07518797
03-Feb-77,12,12.32330827,12.32330827
31-Jan-77,12.25,12.57142857,12.57142857
24-Jan-77,13.25,12.81954887,12.81954887
10-Jan-77,14,13.06766917,13.06766917
29-Dec-76,14.25,13.31578947,13.31578947
20-Dec-76,14.5,13.56390977,13.56390977
22-Nov-76,14.75,13.81203008,13.81203008
07-Oct-76,15,14.06015038,14.06015038
13-Sep-76,13,14.30827068,14.30827068
24-May-76,11.5,14.55639098,14.55639098
26-Apr-76,10.5,14.80451128,14.80451128
08-Mar-76,9,15.05263158,15.05263158
01-Mar-76,9.25,15.30075188,15.30075188
09-Feb-76,9.5,15.54887218,15.54887218
02-Feb-76,10,15.79699248,15.79699248
26-Jan-76,10.5,16.04511278,16.04511278
19-Jan-76,10.75,16.29323308,16.29323308
05-Jan-76,11,16.54135338,16.54135338
29-Dec-75,11.25,16.78947368,16.78947368
01-Dec-75,11.5,17.03759398,17.03759398
17-Nov-75,11.75,17.28571429,17.28571429
06-Oct-75,12,17.53383459,17.53383459
28-Jul-75,11,17.78195489,17.78195489
05-May-75,10,18.03007519,18.03007519
21-Apr-75,9.75,18.27819549,18.27819549
24-Mar-75,10,18.52631579,18.52631579
10-Mar-75,10.25,18.77443609,18.77443609
17-Feb-75,10.5,19.02255639,19.02255639
10-Feb-75,10.75,19.27067669,19.27067669
27-Jan-75,11,19.51879699,19.51879699
20-Jan-75,11.25,19.76691729,19.76691729
