date,interest_rate,m4_moneySupply,net_lending_privateSector,net_lending_publicSector,bond_issuance,bond_repayment,change_in_reserves
09/08/1983,9.44,,,,,,
10/08/1983,9.56,,,,,,
01/10/1983,,174310,,,,,
03/10/1983,9.06,,,,,,
01/01/1984,,179922,,,,,
07/03/1984,8.81,,,,,,
14/03/1984,8.56,,,,,,
01/04/1984,,186646,,,,,
10/05/1984,9.06,,,,,,
29/06/1984,8.88,,,,,,
01/07/1984,,191704,,,,,
06/07/1984,10,,,,,,
11/07/1984,12,,,,,,
08/08/1984,11.5,,,,,,
09/08/1984,11,,,,,,
16/08/1984,10.75,,,,,,
17/08/1984,10.5,,,,,,
01/10/1984,,198097,,,,,
05/11/1984,10,,,,,,
19/11/1984,9.75,,,,,,
23/11/1984,9.5,,,,,,
01/01/1985,,205108,,,,,
14/01/1985,11.88,,,,,,
28/01/1985,13.88,,,,,,
20/03/1985,13.38,,,,,,
28/03/1985,12.88,,,,,,
01/04/1985,,211075,,,,,
19/04/1985,12.38,,,,,,
01/07/1985,,217683,,,,,
11/07/1985,11.88,,,,,,
26/07/1985,11.38,,,,,,
01/10/1985,,224162,,,,,
01/01/1986,,235349,,,,,
15/01/1986,12.38,,,,,,
19/03/1986,11.38,,,,,,
01/04/1986,,244489,,,,,
11/04/1986,10.88,,,,,,
18/04/1986,10.38,,,,,,
23/05/1986,9.88,,,,,,
01/07/1986,,249523,,,,,
01/10/1986,,257832,,,,,
15/10/1986,10.88,,,,,,
01/01/1987,,271096,,,,,
09/03/1987,10.38,,,,,,
18/03/1987,9.88,,,,,,
01/04/1987,,281364,,,,,
28/04/1987,9.38,,,,,,
08/05/1987,8.88,,,,,,
01/07/1987,,292164,,,,,
06/08/1987,9.88,,,,,,
01/10/1987,,304427,,,,,
23/10/1987,9.38,,,,,,
04/11/1987,8.88,,,,,,
03/12/1987,8.38,,,,,,
01/01/1988,,317195,,,,,
01/02/1988,8.88,,,,,,
17/03/1988,8.38,,,,,,
01/04/1988,,328865,,,,,
08/04/1988,7.88,,,,,,
17/05/1988,7.38,,,,,,
03/06/1988,7.88,,,,,,
10/06/1988,8.38,,,,,,
24/06/1988,8.88,,,,,,
01/07/1988,,345954,,,,,
07/07/1988,9.88,,,,,,
21/07/1988,10.38,,,,,,
08/08/1988,10.88,,,,,,
25/08/1988,11.88,,,,,,
01/10/1988,,357567,,,,,
25/11/1988,12.88,,,,,,
01/01/1989,,371987,,,,,
01/04/1989,,389659,,,,,
25/05/1989,13.75,,,,,,
01/07/1989,,407359,,,,,
31/08/1989,13.84,,,,,,
04/09/1989,13.88,,,,,,
08/09/1989,13.75,,,,,,
01/10/1989,,425779,,,,,
06/10/1989,14.88,,,,,,
01/01/1990,,441418,,,,,
01/04/1990,,457390,79064,28740,,,
01/05/1990,,,77663,29731,,,
01/06/1990,,,74983,32222,,,
01/07/1990,,466742,72551,29926,,,
01/08/1990,,,72243,30441,,,
01/09/1990,,,72175,30804,,,
01/10/1990,,477198,70496,29587,,,
08/10/1990,13.88,,,,,,
01/11/1990,,,72398,31357,,,
01/12/1990,,,72721,31352,,,
01/01/1991,,484099,72581,26100,,,
01/02/1991,,,74064,24380,,,
13/02/1991,13.38,,,,,,
27/02/1991,12.88,,,,,,
01/03/1991,,,78784,27184,,,
22/03/1991,12.38,,,,,,
01/04/1991,,492903,79057,28436,,,
12/04/1991,11.88,,,,,,
01/05/1991,,,81203,30652,,,
24/05/1991,11.38,,,,,,
01/06/1991,,,83807,31613,,,
01/07/1991,,498419,80524,28037,,,
12/07/1991,10.88,,,,,,
01/08/1991,,,80089,29387,,,
01/09/1991,,,80669,31613,,,
04/09/1991,10.38,,,,,,
01/10/1991,,504698,83054,28810,,,
01/11/1991,,,85469,28501,,,
01/12/1991,,,61700,28775,,,
01/01/1992,,508818,63020,23782,,,
01/02/1992,,,61951,23821,,,
01/03/1992,,,62011,28376,,,
01/04/1992,,514685,60769,27322,,,
01/05/1992,,,60122,26455,,,
05/05/1992,9.88,,,,,,
01/06/1992,,,57518,28718,,,
01/07/1992,,519943,55892,27051,,,
01/08/1992,,,55769,29346,,,
01/09/1992,,,62922,21659,,,
22/09/1992,8.88,,,,,,
01/10/1992,,518032,70784,23156,,,
16/10/1992,7.88,,,,,,
01/11/1992,,,69728,23486,,,
13/11/1992,6.88,,,,,,
01/12/1992,,,68656,25968,,,
01/01/1993,,521760,70907,26328,,,
26/01/1993,5.88,,,,,,
01/02/1993,,,73438,25567,,,
01/03/1993,,,69211,31563,,,
01/04/1993,,526367,68276,30243,,,
01/05/1993,,,69911,31153,,,
01/06/1993,,,71539,31708,,,
01/07/1993,,532837,69044,31636,,,
01/08/1993,,,70895,32091,,,
01/09/1993,,,72733,32580,,,
01/10/1993,,543357,72410,33926,,,
01/11/1993,,,75546,34484,,,
23/11/1993,5.38,,,,,,
01/12/1993,,,75902,34392,,,
01/01/1994,,551711,78807,34379,,,
01/02/1994,,,82169,33761,,,
08/02/1994,5.13,,,,,,
01/03/1994,,,80098,40568,,,
01/04/1994,,554850,75500,40910,,,
01/05/1994,,,78752,44627,,,
01/06/1994,,,78949,45660,,,
01/07/1994,,560000,78587,44895,,,
01/08/1994,,,76702,45753,,,
01/09/1994,,,78140,47888,,,
12/09/1994,5.63,,,,,,
01/10/1994,,566622,77098,43713,,,
01/11/1994,,,81727,46518,,,
01/12/1994,,,82201,46514,,,
07/12/1994,6.13,,,,,,
01/01/1995,,578925,81925,42200,,,
01/02/1995,,,81853,46012,,,
02/02/1995,6.63,,,,,,
01/03/1995,,,88280,52325,,,
01/04/1995,,590985,86599,52468,,,
01/05/1995,,,88651,56477,,,
01/06/1995,,,87704,58022,,,
01/07/1995,,606103,84943,56540,,,
01/08/1995,,,89486,59785,,,
01/09/1995,,,87787,61256,,,
01/10/1995,,622488,84465,55459,,,
01/11/1995,,,88696,59946,,,
01/12/1995,,,108932,55734,,,
13/12/1995,6.38,,,,,,
01/01/1996,,634992,120014,50469,,,
18/01/1996,6.13,,,,,,
01/02/1996,,,118664,51079,,,
01/03/1996,,,116998,58136,,,
08/03/1996,5.94,,,,,,
01/04/1996,,649583,121547,54238,,,
01/05/1996,,,124026,55630,,,
01/06/1996,,,126290,56569,,,
06/06/1996,5.69,,,,,,
01/07/1996,,667896,134081,49903,,,
01/08/1996,,,130940,52395,,,
01/09/1996,,,128251,53586,,,
01/10/1996,,681529,127503,44691,,,
30/10/1996,5.94,,,,,,
01/11/1996,,,134494,49052,,,
01/12/1996,,,133272,49958,,,
01/01/1997,,708679,141142,39942,,,
01/02/1997,,,138607,42496,,,
01/03/1997,,,143432,48071,,,
01/04/1997,,724651,140365,44595,,,
01/05/1997,,,140068,47801,,,
06/05/1997,6.25,,,,,,
01/06/1997,,,137569,48985,,,
06/06/1997,6.5,,,,,,
01/07/1997,,707399,144370,46121,,,
10/07/1997,6.75,,,,,,
01/08/1997,,,150535,48246,,,
07/08/1997,7,,,,,,
01/09/1997,,,140119,49060,,,
01/10/1997,,719860,144558,40344,,,
01/11/1997,,,142100,44575,,,
06/11/1997,7.25,,,,,,
01/12/1997,,,138143,43205,,,
01/01/1998,,739512,140903,31939,,,
01/02/1998,,,140364,26615,,,
01/03/1998,,,140170,34232,,,
01/04/1998,,752364,133469,32435,,,
01/05/1998,,,141626,34143,,,
01/06/1998,,,140332,41805,,,
04/06/1998,7.5,,,,,,
01/07/1998,,771936,141393,35047,,,
01/08/1998,,,137937,35946,,,
01/09/1998,,,143213,41296,,,
01/10/1998,,781139,134919,31559,,,
08/10/1998,7.25,,,,,,
01/11/1998,,,133747,31870,,,
05/11/1998,6.75,,,,,,
01/12/1998,,,130177,35062,,,
10/12/1998,6.25,,,,,,
01/01/1999,,789379,125017,25981,,,
07/01/1999,6,,,,,,
01/02/1999,,,127158,24437,,,
04/02/1999,5.5,,,,,,
01/03/1999,,,128542,31890,,,
01/04/1999,,796147,125093,29963,,,
08/04/1999,5.25,,,,,,
01/05/1999,,,129237,29574,,,
01/06/1999,,,135527,31873,,,
10/06/1999,5,,,,,,
01/07/1999,,796012,131916,30951,,,
01/08/1999,,,135386,34216,,,
01/09/1999,,,133994,34570,,,
08/09/1999,5.25,,,,,,
01/10/1999,,813224,128893,25051,,,
01/11/1999,,,148731,28369,,,
04/11/1999,5.5,,,,,,
01/12/1999,,,128854,36826,,,
01/01/2000,,831217,133962,20881,,,
13/01/2000,5.75,,,,,,
01/02/2000,,,143196,19786,,,
10/02/2000,6,,,,,,
01/03/2000,,,156604,30483,,,
01/04/2000,,850192,150491,30497,,,
01/05/2000,,,168321,27046,,,
01/06/2000,,,168279,34507,,,
01/07/2000,,867428,161758,30280,,,
01/08/2000,,,160672,33490,,,
01/09/2000,,,163981,28919,,,
01/10/2000,,881561,165575,28239,,,
01/11/2000,,,177881,31160,,,
01/12/2000,,,180138,32306,,,
01/01/2001,,900263,187680,26477,,,
01/02/2001,,,188294,23234,,,
08/02/2001,5.75,,,,,,
01/03/2001,,,196642,27139,,,
01/04/2001,,915148,196778,23972,,,
05/04/2001,5.5,,,,,,
01/05/2001,,,203316,25437,,,
10/05/2001,5.25,,,,,,
01/06/2001,,,197918,28225,,,
01/07/2001,,938015,199036,26439,,,
01/08/2001,,,191482,26779,,,
02/08/2001,5,,,,,,
01/09/2001,,,198188,30376,,,
18/09/2001,4.75,,,,,,
01/10/2001,,940114,209545,31028,,,
04/10/2001,4.5,,,,,,
01/11/2001,,,212275,31617,,,
08/11/2001,4,,,,,,
01/12/2001,,,212824,32322,,,
01/01/2002,,949334,216166,28920,,,
01/02/2002,,,225531,27836,,,
01/03/2002,,,219418,31580,,,
01/04/2002,,969550,230223,31341,,,
01/05/2002,,,248479,34612,,,
01/06/2002,,,235667,33951,,,
01/07/2002,,991418,221197,31033,,,
01/08/2002,,,226578,30169,,,
01/09/2002,,,219924,34713,,,
01/10/2002,,1005807,221466,34155,,,
01/11/2002,,,227161,33787,,,
01/12/2002,,,227431,40485,,,
01/01/2003,,1017622,226247,32878,,,
01/02/2003,,,240437,31871,,,
06/02/2003,3.75,,,,,,
01/03/2003,,,244553,34970,53933,15060,
01/04/2003,,1043320,250454,33031,,,
01/05/2003,,,239293,36212,,,
01/06/2003,,,242772,39737,55366,19031,
01/07/2003,,1052959,257458,35650,,,
10/07/2003,3.5,,,,,,
01/08/2003,,,252841,31386,,,
01/09/2003,,,254855,33886,57411,-7392,
01/10/2003,,1077573,241903,33511,,,
01/11/2003,,,245558,36701,,,
