date,GDP,colb,colc
01/01/1955,"129,428","129,428","129,428"
01/04/1955,"129,519","129,519","129,519"
01/07/1955,"132,043","132,043","132,043"
01/10/1955,"131,396","131,396","131,396"
01/01/1956,"132,998","132,998","132,998"
01/04/1956,"132,679","132,679","132,679"
01/07/1956,"132,495","132,495","132,495"
01/10/1956,"132,945","132,945","132,945"
01/01/1957,"135,711","135,711","135,711"
01/04/1957,"135,750","135,750","135,750"
01/07/1957,"134,944","134,944","134,944"
01/10/1957,"135,028","135,028","135,028"
01/01/1958,"138,005","138,005","138,005"
01/04/1958,"134,822","134,822","134,822"
01/07/1958,"137,771","137,771","137,771"
01/10/1958,"137,880",,
01/01/1959,"138,749",,
01/04/1959,"141,054",,
01/07/1959,"144,101",,
01/10/1959,"147,731",,
01/01/1960,"151,420",,
01/04/1960,"150,230",,
01/07/1960,"152,485",,
01/10/1960,"153,552",,
01/01/1961,"155,990",,
01/04/1961,"156,572",,
01/07/1961,"155,818",,
01/10/1961,"155,436",,
01/01/1962,"156,202",,
01/04/1962,"157,678",,
01/07/1962,"158,572",,
01/10/1962,"157,894",,
01/01/1963,"158,616",,
01/04/1963,"165,619",,
01/07/1963,"166,407",,
01/10/1963,"170,054",,
01/01/1964,"171,209",,
01/04/1964,"174,393",,
01/07/1964,"175,037",,
01/10/1964,"177,683",,
01/01/1965,"177,153",,
01/04/1965,"177,267",,
01/07/1965,"178,719",,
01/10/1965,"179,904",,
01/01/1966,"180,172",,
01/04/1966,"181,154",,
01/07/1966,"181,778",,
01/10/1966,"180,944",,
01/01/1967,"183,328",,
01/04/1967,"185,968",,
01/07/1967,"186,841",,
01/10/1967,"187,834",,
01/01/1968,"194,591",,
01/04/1968,"193,804",,
01/07/1968,"197,603",,
01/10/1968,"198,437",,
01/01/1969,"197,901",,
01/04/1969,"199,471",,
01/07/1969,"200,592",,
01/10/1969,"201,431",,
01/01/1970,"200,089",,
01/04/1970,"205,001",,
01/07/1970,"206,988",,
01/10/1970,"208,869",,
01/01/1971,"207,680",,
01/04/1971,"211,465",,
01/07/1971,"215,240",,
01/10/1971,"216,006",,
01/01/1972,"216,317",,
01/04/1972,"222,086",,
01/07/1972,"222,694",,
01/10/1972,"226,205",,
01/01/1973,"237,322",,
01/04/1973,"237,728",,
01/07/1973,"235,429",,
01/10/1973,"234,514",,
01/01/1974,"228,013",,
01/04/1974,"231,343",,
01/07/1974,"232,777",,
01/10/1974,"229,394",,
01/01/1975,"229,477",,
01/04/1975,"225,734",,
01/07/1975,"224,919",,
01/10/1975,"227,490",,
01/01/1976,"231,247",,
01/04/1976,"230,985",,
01/07/1976,"233,947",,
01/10/1976,"238,928",,
01/01/1977,"238,831",,
01/04/1977,"237,076",,
01/07/1977,"238,720",,
01/10/1977,"242,807",,
01/01/1978,"244,622",,
01/04/1978,"247,510",,
01/07/1978,"250,901",,
01/10/1978,"253,135",,
01/01/1979,"251,825",,
01/04/1979,"262,981",,
01/07/1979,"257,095",,
01/10/1979,"259,744",,
01/01/1980,"256,815",,
01/04/1980,"251,750",,
01/07/1980,"251,454",,
01/10/1980,"248,574",,
01/01/1981,"248,097",,
01/04/1981,"248,514",,
01/07/1981,"251,197",,
01/10/1981,"251,349",,
01/01/1982,"251,388",,
01/04/1982,"253,939",,
01/07/1982,"254,533",,
01/10/1982,"256,172",,
01/01/1983,"260,720",,
01/04/1983,"262,390",,
01/07/1983,"265,120",,
01/10/1983,"267,076",,
01/01/1984,"268,763",,
01/04/1984,"266,099",,
01/07/1984,"267,783",,
01/10/1984,"272,734",,
01/01/1985,"274,498",,
01/04/1985,"280,049",,
01/07/1985,"280,252",,
01/10/1985,"280,672",,
01/01/1986,"283,200",,
01/04/1986,"284,643",,
01/07/1986,"285,943",,
01/10/1986,"290,408",,
01/01/1987,"293,128",,
01/04/1987,"297,464",,
01/07/1987,"304,555",,
01/10/1987,"308,624",,
01/01/1988,"313,316",,
01/04/1988,"313,997",,
01/07/1988,"318,223",,
01/10/1988,"320,612",,
01/01/1989,"322,258",,
01/04/1989,"323,569",,
01/07/1989,"323,542",,
01/10/1989,"324,139",,
01/01/1990,"326,896",,
01/04/1990,"328,047",,
01/07/1990,"324,080",,
01/10/1990,"322,743",,
01/01/1991,"321,164",,
01/04/1991,"319,958",,
01/07/1991,"319,027",,
01/10/1991,"319,668",,
01/01/1992,"319,525",,
01/04/1992,"318,481",,
01/07/1992,"320,240",,
01/10/1992,"321,960",,
01/01/1993,"324,111",,
01/04/1993,"325,394",,
01/07/1993,"327,863",,
01/10/1993,"329,789",,
01/01/1994,"333,269",,
01/04/1994,"336,803",,
01/07/1994,"340,451",,
01/10/1994,"342,104",,
01/01/1995,"342,962",,
01/04/1995,"343,589",,
01/07/1995,"347,031",,
01/10/1995,"347,651",,
01/01/1996,"349,056",,
01/04/1996,"349,195",,
01/07/1996,"352,909",,
01/10/1996,"356,423",,
01/01/1997,"361,885",,
01/04/1997,"365,725",,
01/07/1997,"369,141",,
01/10/1997,"374,512",,
01/01/1998,"376,761",,
01/04/1998,"378,766",,
01/07/1998,"379,906",,
01/10/1998,"382,282",,
01/01/1999,"385,025",,
01/04/1999,"386,581",,
01/07/1999,"393,078",,
01/10/1999,"398,776",,
01/01/2000,"403,407",,
01/04/2000,"406,049",,
01/07/2000,"408,120",,
01/10/2000,"409,871",,
01/01/2001,"413,381",,
01/04/2001,"414,894",,
01/07/2001,"416,803",,
01/10/2001,"417,480",,
01/01/2002,"418,930",,
01/04/2002,"421,133",,
01/07/2002,"424,190",,
01/10/2002,"427,745",,
01/01/2003,"430,454",,
01/04/2003,"434,140",,
01/07/2003,"438,419",,
01/10/2003,"441,827",,
01/01/2004,"443,792",,
01/04/2004,"446,140",,
01/07/2004,"447,205",,
01/10/2004,"448,619",,
01/01/2005,"451,985",,
01/04/2005,"456,263",,
01/07/2005,"460,177",,
01/10/2005,"464,981",,
01/01/2006,"466,584",,
01/04/2006,"467,684",,
01/07/2006,"468,351",,
01/10/2006,"470,396",,
01/01/2007,"475,292",,
01/04/2007,"478,424",,
01/07/2007,"482,064",,
01/10/2007,"485,249",,
01/01/2008,"487,601",,
01/04/2008,"485,278",,
01/07/2008,"477,935",,
01/10/2008,"467,250",,
01/01/2009,"458,181",,
01/04/2009,"456,867",,
01/07/2009,"457,471",,
01/10/2009,"459,031",,
01/01/2010,"463,391",,
01/04/2010,"468,691",,
01/07/2010,"471,664",,
01/10/2010,"472,312",,
01/01/2011,"473,510",,
01/04/2011,"473,773",,
01/07/2011,"474,501",,
01/10/2011,"474,303",,
01/01/2012,"478,242",,
01/04/2012,"477,974",,
01/07/2012,"483,913",,
01/10/2012,"483,422",,
01/01/2013,"484,555",,
01/04/2013,"487,845",,
01/07/2013,"491,499",,
01/10/2013,"494,658",,
01/01/2014,"499,294",,
01/04/2014,"503,659",,
01/07/2014,"507,485",,
01/10/2014,"510,787",,
01/01/2015,"512,895",,
01/04/2015,"516,141",,
01/07/2015,"518,365",,
01/10/2015,"522,194",,
01/01/2016,"524,102",,
01/04/2016,"527,401",,
01/07/2016,"529,730",,
01/10/2016,"533,173",,
01/01/2017,"537,114",,
01/04/2017,"539,994",,
01/07/2017,"542,780",,
01/10/2017,"546,185",,
01/01/2018,"547,003",,
01/04/2018,"549,491",,
01/07/2018,"552,545",,
01/10/2018,"553,966",,
01/01/2019,"557,458",,
01/04/2019,"558,071",,
01/07/2019,"561,480",,
01/10/2019,"561,339",,
01/01/2020,"546,515",,
01/04/2020,"431,794",,
01/07/2020,"503,509",,
01/10/2020,"509,621",,
01/01/2021,"504,255",,
01/04/2021,"537,175",,
01/07/2021,"546,487",,
01/10/2021,"554,821",,
01/01/2022,"557,361",,
01/04/2022,"557,938",,
01/07/2022,"557,023",,
01/10/2022,"557,099",,
