date,GDP,colb,colc
01-Jan-55,"129,428","129,428","129,428"
01-Apr-55,"129,519","129,519","129,519"
01-Jul-55,"132,043","132,043","132,043"
01-Oct-55,"131,396","131,396","131,396"
01-Jan-56,"132,998","132,998","132,998"
01-Apr-56,"132,679","132,679","132,679"
01-Jul-56,"132,495","132,495","132,495"
01-Oct-56,"132,945","132,945","132,945"
01-Jan-57,"135,711","135,711","135,711"
01-Apr-57,"135,750","135,750","135,750"
01-Jul-57,"134,944","134,944","134,944"
01-Oct-57,"135,028","135,028","135,028"
01-Jan-58,"138,005","138,005","138,005"
01-Apr-58,"134,822","134,822","134,822"
01-Jul-58,"137,771","137,771","137,771"
01-Oct-58,"137,880",,
01-Jan-59,"138,749",,
01-Apr-59,"141,054",,
01-Jul-59,"144,101",,
01-Oct-59,"147,731",,
01-Jan-60,"151,420",,
01-Apr-60,"150,230",,
01-Jul-60,"152,485",,
01-Oct-60,"153,552",,
01-Jan-61,"155,990",,
01-Apr-61,"156,572",,
01-Jul-61,"155,818",,
01-Oct-61,"155,436",,
01-Jan-62,"156,202",,
01-Apr-62,"157,678",,
01-Jul-62,"158,572",,
01-Oct-62,"157,894",,
01-Jan-63,"158,616",,
01-Apr-63,"165,619",,
01-Jul-63,"166,407",,
01-Oct-63,"170,054",,
01-Jan-64,"171,209",,
01-Apr-64,"174,393",,
01-Jul-64,"175,037",,
01-Oct-64,"177,683",,
01-Jan-65,"177,153",,
01-Apr-65,"177,267",,
01-Jul-65,"178,719",,
01-Oct-65,"179,904",,
01-Jan-66,"180,172",,
01-Apr-66,"181,154",,
01-Jul-66,"181,778",,
01-Oct-66,"180,944",,
01-Jan-67,"183,328",,
01-Apr-67,"185,968",,
01-Jul-67,"186,841",,
01-Oct-67,"187,834",,
01-Jan-68,"194,591",,
01-Apr-68,"193,804",,
01-Jul-68,"197,603",,
01-Oct-68,"198,437",,
01-Jan-69,"197,901",,
01-Apr-69,"199,471",,
01-Jul-69,"200,592",,
01-Oct-69,"201,431",,
01-Jan-70,"200,089",,
01-Apr-70,"205,001",,
01-Jul-70,"206,988",,
01-Oct-70,"208,869",,
01-Jan-71,"207,680",,
01-Apr-71,"211,465",,
01-Jul-71,"215,240",,
01-Oct-71,"216,006",,
01-Jan-72,"216,317",,
01-Apr-72,"222,086",,
01-Jul-72,"222,694",,
01-Oct-72,"226,205",,
01-Jan-73,"237,322",,
01-Apr-73,"237,728",,
01-Jul-73,"235,429",,
01-Oct-73,"234,514",,
01-Jan-74,"228,013",,
01-Apr-74,"231,343",,
01-Jul-74,"232,777",,
01-Oct-74,"229,394",,
01-Jan-75,"229,477",,
01-Apr-75,"225,734",,
01-Jul-75,"224,919",,
01-Oct-75,"227,490",,
01-Jan-76,"231,247",,
01-Apr-76,"230,985",,
01-Jul-76,"233,947",,
01-Oct-76,"238,928",,
01-Jan-77,"238,831",,
01-Apr-77,"237,076",,
01-Jul-77,"238,720",,
01-Oct-77,"242,807",,
01-Jan-78,"244,622",,
01-Apr-78,"247,510",,
01-Jul-78,"250,901",,
01-Oct-78,"253,135",,
01-Jan-79,"251,825",,
01-Apr-79,"262,981",,
01-Jul-79,"257,095",,
01-Oct-79,"259,744",,
01-Jan-80,"256,815",,
01-Apr-80,"251,750",,
01-Jul-80,"251,454",,
01-Oct-80,"248,574",,
01-Jan-81,"248,097",,
01-Apr-81,"248,514",,
01-Jul-81,"251,197",,
01-Oct-81,"251,349",,
01-Jan-82,"251,388",,
01-Apr-82,"253,939",,
01-Jul-82,"254,533",,
01-Oct-82,"256,172",,
01-Jan-83,"260,720",,
01-Apr-83,"262,390",,
01-Jul-83,"265,120",,
01-Oct-83,"267,076",,
01-Jan-84,"268,763",,
01-Apr-84,"266,099",,
01-Jul-84,"267,783",,
01-Oct-84,"272,734",,
01-Jan-85,"274,498",,
01-Apr-85,"280,049",,
01-Jul-85,"280,252",,
01-Oct-85,"280,672",,
01-Jan-86,"283,200",,
01-Apr-86,"284,643",,
01-Jul-86,"285,943",,
01-Oct-86,"290,408",,
01-Jan-87,"293,128",,
01-Apr-87,"297,464",,
01-Jul-87,"304,555",,
01-Oct-87,"308,624",,
01-Jan-88,"313,316",,
01-Apr-88,"313,997",,
01-Jul-88,"318,223",,
01-Oct-88,"320,612",,
01-Jan-89,"322,258",,
01-Apr-89,"323,569",,
01-Jul-89,"323,542",,
01-Oct-89,"324,139",,
01-Jan-90,"326,896",,
01-Apr-90,"328,047",,
01-Jul-90,"324,080",,
01-Oct-90,"322,743",,
01-Jan-91,"321,164",,
01-Apr-91,"319,958",,
01-Jul-91,"319,027",,
01-Oct-91,"319,668",,
01-Jan-92,"319,525",,
01-Apr-92,"318,481",,
01-Jul-92,"320,240",,
01-Oct-92,"321,960",,
01-Jan-93,"324,111",,
01-Apr-93,"325,394",,
01-Jul-93,"327,863",,
01-Oct-93,"329,789",,
01-Jan-94,"333,269",,
01-Apr-94,"336,803",,
01-Jul-94,"340,451",,
01-Oct-94,"342,104",,
01-Jan-95,"342,962",,
01-Apr-95,"343,589",,
01-Jul-95,"347,031",,
01-Oct-95,"347,651",,
01-Jan-96,"349,056",,
01-Apr-96,"349,195",,
01-Jul-96,"352,909",,
01-Oct-96,"356,423",,
01-Jan-97,"361,885",,
01-Apr-97,"365,725",,
01-Jul-97,"369,141",,
01-Oct-97,"374,512",,
01-Jan-98,"376,761",,
01-Apr-98,"378,766",,
01-Jul-98,"379,906",,
01-Oct-98,"382,282",,
01-Jan-99,"385,025",,
01-Apr-99,"386,581",,
01-Jul-99,"393,078",,
01-Oct-99,"398,776",,
01-Jan-00,"403,407",,
01-Apr-00,"406,049",,
01-Jul-00,"408,120",,
01-Oct-00,"409,871",,
01-Jan-01,"413,381",,
01-Apr-01,"414,894",,
01-Jul-01,"416,803",,
01-Oct-01,"417,480",,
01-Jan-02,"418,930",,
01-Apr-02,"421,133",,
01-Jul-02,"424,190",,
01-Oct-02,"427,745",,
01-Jan-03,"430,454",,
01-Apr-03,"434,140",,
01-Jul-03,"438,419",,
01-Oct-03,"441,827",,
01-Jan-04,"443,792",,
01-Apr-04,"446,140",,
01-Jul-04,"447,205",,
01-Oct-04,"448,619",,
01-Jan-05,"451,985",,
01-Apr-05,"456,263",,
01-Jul-05,"460,177",,
01-Oct-05,"464,981",,
01-Jan-06,"466,584",,
01-Apr-06,"467,684",,
01-Jul-06,"468,351",,
01-Oct-06,"470,396",,
01-Jan-07,"475,292",,
01-Apr-07,"478,424",,
01-Jul-07,"482,064",,
01-Oct-07,"485,249",,
01-Jan-08,"487,601",,
01-Apr-08,"485,278",,
01-Jul-08,"477,935",,
01-Oct-08,"467,250",,
01-Jan-09,"458,181",,
01-Apr-09,"456,867",,
01-Jul-09,"457,471",,
01-Oct-09,"459,031",,
01-Jan-10,"463,391",,
01-Apr-10,"468,691",,
01-Jul-10,"471,664",,
01-Oct-10,"472,312",,
01-Jan-11,"473,510",,
01-Apr-11,"473,773",,
01-Jul-11,"474,501",,
01-Oct-11,"474,303",,
01-Jan-12,"478,242",,
01-Apr-12,"477,974",,
01-Jul-12,"483,913",,
01-Oct-12,"483,422",,
01-Jan-13,"484,555",,
01-Apr-13,"487,845",,
01-Jul-13,"491,499",,
01-Oct-13,"494,658",,
01-Jan-14,"499,294",,
01-Apr-14,"503,659",,
01-Jul-14,"507,485",,
01-Oct-14,"510,787",,
01-Jan-15,"512,895",,
01-Apr-15,"516,141",,
01-Jul-15,"518,365",,
01-Oct-15,"522,194",,
01-Jan-16,"524,102",,
01-Apr-16,"527,401",,
01-Jul-16,"529,730",,
01-Oct-16,"533,173",,
01-Jan-17,"537,114",,
01-Apr-17,"539,994",,
01-Jul-17,"542,780",,
01-Oct-17,"546,185",,
01-Jan-18,"547,003",,
01-Apr-18,"549,491",,
01-Jul-18,"552,545",,
01-Oct-18,"553,966",,
01-Jan-19,"557,458",,
01-Apr-19,"558,071",,
01-Jul-19,"561,480",,
01-Oct-19,"561,339",,
01-Jan-20,"546,515",,
01-Apr-20,"431,794",,
01-Jul-20,"503,509",,
01-Oct-20,"509,621",,
01-Jan-21,"504,255",,
01-Apr-21,"537,175",,
01-Jul-21,"546,487",,
01-Oct-21,"554,821",,
01-Jan-22,"557,361",,
01-Apr-22,"557,938",,
01-Jul-22,"557,023",,
01-Oct-22,"557,099",,
