date,interest_rate,col2,col3
05/11/1998,6.75,16.29323308,16.29323308
10/12/1998,6.25,16.04511278,16.04511278
01/01/1999,,,
07/01/1999,6,15.79699248,15.79699248
04/02/1999,5.5,15.54887218,15.54887218
01/04/1999,,,
08/04/1999,5.25,15.30075188,15.30075188
10/06/1999,5,15.05263158,15.05263158
01/07/1999,,,
08/09/1999,5.25,14.80451128,14.80451128
01/10/1999,,,
04/11/1999,5.5,14.55639098,14.55639098
01/01/2000,,,
13/01/2000,5.75,14.30827068,14.30827068
10/02/2000,6,14.06015038,14.06015038
01/04/2000,,,
01/07/2000,,,
01/10/2000,,,
01/01/2001,,,
08/02/2001,5.75,13.81203008,13.81203008
01/04/2001,,,
05/04/2001,5.5,13.56390977,13.56390977
10/05/2001,5.25,13.31578947,13.31578947
01/07/2001,,,
02/08/2001,5,13.06766917,13.06766917
18/09/2001,4.75,12.81954887,12.81954887
01/10/2001,,,
04/10/2001,4.5,12.57142857,12.57142857
08/11/2001,4,12.32330827,12.32330827
01/01/2002,,,
01/04/2002,,,
01/07/2002,,,
01/10/2002,,,
01/01/2003,,,
06/02/2003,3.75,12.07518797,12.07518797
01/04/2003,,,
01/07/2003,,,
10/07/2003,3.5,11.82706767,11.82706767
01/10/2003,,,
06/11/2003,3.75,11.57894737,11.57894737
01/01/2004,,,
05/02/2004,4,11.33082707,11.33082707
01/04/2004,,,
06/05/2004,4.25,11.08270677,11.08270677
10/06/2004,4.5,10.83458647,10.83458647
01/07/2004,,,
05/08/2004,4.75,10.58646617,10.58646617
01/10/2004,,,
01/01/2005,,,
01/04/2005,,,
01/07/2005,,,
04/08/2005,4.5,10.33834586,10.33834586
01/10/2005,,,
01/01/2006,,,
01/04/2006,,,
01/07/2006,,,
03/08/2006,4.75,10.09022556,10.09022556
01/10/2006,,,
09/11/2006,5,9.842105263,9.842105263
01/01/2007,,,
11/01/2007,5.25,9.593984962,9.593984962
01/04/2007,,,
10/05/2007,5.5,9.345864662,9.345864662
01/07/2007,,,
05/07/2007,5.75,9.097744361,9.097744361
01/10/2007,,,
06/12/2007,5.5,8.84962406,8.84962406
01/01/2008,,,
07/02/2008,5.25,8.601503759,8.601503759
01/04/2008,,,
10/04/2008,5,8.353383459,8.353383459
01/07/2008,,,
01/10/2008,,,
08/10/2008,4.5,8.105263158,8.105263158
06/11/2008,3,10,10
04/12/2008,2,9,9
01/01/2009,,,
08/01/2009,1.5,8,8
05/02/2009,1,7,7
05/03/2009,0.5,6,6
01/04/2009,,,
01/07/2009,,,
01/10/2009,,,
01/01/2010,,,
01/04/2010,,,
01/07/2010,,,
01/10/2010,,,
01/01/2011,,,
01/04/2011,,,
01/07/2011,,,
01/10/2011,,,
01/01/2012,,,
01/04/2012,,,
01/07/2012,,,
01/10/2012,,,
01/01/2013,,,
01/04/2013,,,
01/07/2013,,,
01/10/2013,,,
01/01/2014,,,
01/04/2014,,,
01/07/2014,,,
01/10/2014,,,
01/01/2015,,,
01/04/2015,,,
01/07/2015,,,
01/10/2015,,,
01/01/2016,,,
01/04/2016,,,
01/07/2016,,,
04/08/2016,0.25,5,5
01/10/2016,,,
01/01/2017,,,
01/04/2017,,,
01/07/2017,,,
01/10/2017,,,
02/11/2017,0.5,4,4
01/01/2018,,,
01/04/2018,,,
01/07/2018,,,
02/08/2018,0.75,3,3
01/10/2018,,,
01/01/2019,,,
01/04/2019,,,
01/07/2019,,,
01/10/2019,,,
01/01/2020,,,
11/03/2020,0.25,2,2
19/03/2020,0.1,1,1
01/04/2020,,,
01/07/2020,,,
01/10/2020,,,
01/01/2021,,,
01/04/2021,,,
01/07/2021,,,
01/10/2021,,,
16/12/2021,0.25,10,10
01/01/2022,,,
03/02/2022,0.5,9,9
17/03/2022,0.75,8,8
01/04/2022,,,
05/05/2022,1,7,7
16/06/2022,1.25,6,6
01/07/2022,,,
04/08/2022,1.75,5,5
22/09/2022,2.25,4,4
01/10/2022,,,
03/11/2022,3,3,3
15/12/2022,3.5,2,2
02/02/2023,4,1,1
