Date,Base Interest Rate,Money Supply (£ million),Net Lending (Private Sector) (£ million),Net Lending (Public Sector) (£ million),Bond Issuance (£ million),Bond Repayment (£ million),Change in Reserves (£ million),,
01/09/2014,0.50,580477.00,393276.00,522059.00,100329.00,-17748.00,,,
01/10/2014,0.50,583185.00,383787.00,545343.00,,,,,
01/11/2014,0.50,585891.00,396103.00,566457.00,,,,,
01/12/2014,0.50,588603.00,363262.00,568363.00,65868.00,18806.00,,,
01/01/2015,0.50,591315.00,377258.00,584054.00,,,,,
01/02/2015,0.50,594025.00,377525.00,556720.00,,,,,
01/03/2015,0.50,596740.00,382389.00,557516.00,107134.00,-21811.00,,,
01/04/2015,0.50,599459.00,389311.00,549464.00,,,,,
01/05/2015,0.50,602176.00,363496.00,555383.00,,,,,
01/06/2015,0.50,604893.00,361946.00,547414.00,53823.00,25245.00,,,
01/07/2015,0.50,607617.00,351619.00,561216.00,,,,,
01/08/2015,0.50,610342.00,361806.00,571617.00,,,,,
01/09/2015,0.50,613066.00,361449.00,566370.00,79330.00,-22161.00,,,
01/10/2015,0.50,615794.00,353543.00,564345.00,,,,,
01/11/2015,0.50,618522.00,349750.00,572646.00,,,,,
01/12/2015,0.50,621255.00,340677.00,557816.00,51387.00,26927.00,,,
01/01/2016,0.50,623988.00,362822.00,570313.00,,,,,
01/02/2016,0.50,626722.00,389047.00,583284.00,,,,,
01/03/2016,0.50,629464.00,370327.00,576639.00,64333.00,25738.00,,,
01/04/2016,0.50,632210.00,377230.00,573771.00,,,,,
01/05/2016,0.50,634954.00,373330.00,577827.00,,,,,
01/06/2016,0.50,637702.00,410067.00,600650.00,66631.00,29794.00,,,
01/07/2016,0.25,640449.00,407885.00,614288.00,,,,,
01/08/2016,0.25,643200.00,408933.00,643532.00,,,,,
01/09/2016,0.25,645952.00,392415.00,632388.00,72341.00,42776.00,,,
01/10/2016,0.25,648710.00,402457.00,629874.00,,,,,
01/11/2016,0.25,651467.00,407787.00,632416.00,,,,,
01/12/2016,0.25,654226.00,376879.00,642309.00,79672.00,26519.00,,,
01/01/2017,0.25,656984.00,398354.00,627113.00,,,,,
01/02/2017,0.25,659746.00,431590.00,646714.00,,,,,
01/03/2017,0.25,662514.00,420058.00,650434.00,56941.00,178747.00,,,
01/04/2017,0.25,665284.00,424086.00,650793.00,,,,,
01/05/2017,0.25,668051.00,425124.00,654456.00,,,,,
01/06/2017,0.25,670819.00,420054.00,643502.00,54998.00,88213.00,,,
01/07/2017,0.25,673598.00,420321.00,679171.00,,,,,
01/08/2017,0.25,676378.00,424851.00,682373.00,,,,,
01/09/2017,0.25,679160.00,399063.00,668887.00,51586.00,98077.00,,,
01/10/2017,0.50,681950.00,408236.00,674514.00,,,,,
01/11/2017,0.50,684748.00,413377.00,665800.00,,,,,
01/12/2017,0.50,687551.00,392897.00,666148.00,53676.00,-3186.00,,,
01/01/2018,0.50,690343.00,423546.00,659176.00,,,,,
01/02/2018,0.50,693254.00,425112.00,664139.00,,,,,
01/03/2018,0.50,696138.00,403159.00,664056.00,48004.00,31612.00,,,
01/04/2018,0.50,699024.00,409943.00,633242.00,,,,,
01/05/2018,0.50,701916.00,435798.00,646716.00,,,,,
01/06/2018,0.50,704808.00,413409.00,641065.00,32923.00,30359.00,,,
01/07/2018,0.75,707701.00,408352.00,632783.00,,,,,
01/08/2018,0.75,710596.00,419235.00,635970.00,,,,,
01/09/2018,0.75,713493.00,410656.00,620441.00,37464.00,55329.00,,,
01/10/2018,0.75,716397.00,409487.00,616232.00,,,,,
01/11/2018,0.75,719301.00,435810.00,612836.00,,,,,
01/12/2018,0.75,722207.00,426034.00,612932.00,44428.00,44201.00,,,
01/01/2019,0.75,2729372.00,425016.00,621699.00,,,-1960.00,,
01/02/2019,0.75,2722674.00,387519.00,620281.00,,,2211.00,,
01/03/2019,0.75,2745432.00,382601.00,619791.00,36263.00,60091.00,3579.00,,
01/04/2019,0.75,2749524.00,392950.00,618964.00,,,-606.00,,
01/05/2019,0.75,2749171.00,404974.00,628633.00,,,654.00,,
01/06/2019,0.75,2760885.00,402120.00,629988.00,31214.00,44821.00,-73.00,,
01/07/2019,0.75,2774066.00,411973.00,636229.00,,,211.00,,
01/08/2019,0.75,2789243.00,422221.00,654363.00,,,-2276.00,,
01/09/2019,0.75,2806515.00,413484.00,654206.00,28036.00,30105.00,-2892.00,,
01/10/2019,0.75,2820705.00,391068.00,659261.00,,,-275.00,,
01/11/2019,0.75,2827951.00,400703.00,652742.00,,,-1042.00,,
01/12/2019,0.75,2828514.00,385135.00,633132.00,38318.00,32969.00,1198.00,,
01/01/2020,0.75,2840095.00,400358.00,656793.00,,,748.00,,
01/02/2020,0.75,2848485.00,419013.00,656652.00,,,-1865.00,,
01/03/2020,0.25,2888653.00,467442.00,673408.00,23742.00,38047.00,-6542.00,,
01/04/2020,0.10,2878688.00,445819.00,762388.00,,,45047.00,,
01/05/2020,0.10,2944461.00,458230.00,834198.00,,,-12109.00,,
01/06/2020,0.10,2942302.00,448702.00,862793.00,24970.00,16711.00,-41409.00,,
01/07/2020,0.10,2982239.00,436097.00,891937.00,,,-32047.00,,
01/08/2020,0.10,3008323.00,436499.00,888899.00,,,-26209.00,,
01/09/2020,0.10,3042205.00,455328.00,902182.00,24101.00,26935.00,-30553.00,,
01/10/2020,0.10,3058588.00,434150.00,910654.00,,,-37407.00,,
01/11/2020,0.10,3069075.00,443305.00,921865.00,,,-14298.00,,
01/12/2020,0.10,3072937.00,437366.00,934172.00,23295.00,38856.00,-5295.00,,
01/01/2021,0.10,3092164.00,429636.00,922275.00,,,-15191.00,,
01/02/2021,0.10,3097594.00,435720.00,900300.00,,,-2694.00,,
01/03/2021,0.10,3114809.00,432357.00,915431.00,26254.00,25199.00,-2487.00,,
01/04/2021,0.10,3135207.00,426495.00,937523.00,,,-15304.00,,
01/05/2021,0.10,3160571.00,424032.00,957802.00,,,-22460.00,,
01/06/2021,0.10,3191655.00,417360.00,960297.00,21378.00,21992.00,-31722.00,,
01/07/2021,0.10,3218376.00,422894.00,993209.00,,,-45830.00,,
01/08/2021,0.10,3251605.00,442321.00,997561.00,,,-38913.00,,
01/09/2021,0.10,3279907.00,471252.00,961565.00,14012.00,27368.00,-28109.00,,
01/10/2021,0.10,3301778.00,471801.00,994901.00,,,-23308.00,,
01/11/2021,0.10,3314182.00,475378.00,1037813.00,,,-14589.00,,
01/12/2021,0.25,3326171.00,461781.00,1015102.00,27926.00,23048.00,-24627.00,,
01/01/2022,0.25,3340358.00,468976.00,986493.00,,,-11445.00,,
01/02/2022,0.50,3345445.00,479860.00,974024.00,,,-6317.00,,
01/03/2022,0.75,3358449.00,468337.00,925937.00,12322.00,30282.00,-17634.00,,
01/04/2022,0.75,3367843.00,481616.00,907017.00,,,-14628.00,,
01/05/2022,1.00,3392718.00,472158.00,884534.00,,,-32723.00,,
01/06/2022,1.25,3420761.00,505164.00,865206.00,18865.00,22015.00,-38269.00,,
01/07/2022,1.25,3445654.00,481616.00,881166.00,,,-35590.00,,
01/08/2022,1.75,3482531.00,511965.00,822553.00,,,-61742.00,,
01/09/2022,2.25,3512498.00,551506.00,751345.00,12665.00,21146.00,-26197.00,,
01/10/2022,3.00,3534685.00,532681.00,798458.00,,,-22264.00,,
01/11/2022,3.00,3546762.00,525258.00,801192.00,,,-15705.00,,
01/12/2022,3.50,3559550.00,524682.00,756716.00,15085.00,20214.00,-19198.00,,
02/02/2023,4.00,,,,,,,,
